file,title,FINAL_label
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-038 critical elements visible on inventory-html (batch 2 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-039 critical elements visible on inventory-html (batch 3 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-040 critical elements visible on inventory-html (batch 4 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-041 critical elements visible on inventory-html (batch 5 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-042 critical elements visible on inventory-html (batch 6 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/direct-checkout-flow.generated.spec.ts,"TC-GEN-043 critical elements visible on inventory-html (batch 7 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/inferred-flow-standardUser-1782338893577.generated.spec.ts,"TC-GEN-002 Standard User flow full flow",test-defect
desktop/ui/saucedemo/generated/specs/locked-user-login.generated.spec.ts,"TC-GEN-045 Locked User Login Attempt full flow",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-016 critical elements visible on inventory-html (batch 1 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-017 critical elements visible on inventory-html (batch 2 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-018 critical elements visible on inventory-html (batch 3 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-019 critical elements visible on inventory-html (batch 4 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-020 critical elements visible on inventory-html (batch 5 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-021 critical elements visible on inventory-html (batch 6 of 8)",test-defect
desktop/ui/saucedemo/generated/specs/login-to-inventory.generated.spec.ts,"TC-GEN-022 critical elements visible on inventory-html (batch 7 of 8)",test-defect
